model,accuracy,auc,avg_precision
random_forest,0.9899815449512259,0.6832787288825788,0.1703446048356361
decision_tree,0.9895860796203533,0.6552036664513965,0.09200447195793429
logistic_regression,0.9895860796203533,0.634161702242464,0.06693312319625855
