model,hour,cost,prob
random_forest,0,200.0,0.005052350191313198
random_forest,0,800.0000000000003,0.00544321833377887
random_forest,0,2000.0,0.018425744285531866
random_forest,0,5000.000000000003,0.017778674288893872
random_forest,6,200.0,0.005052350191313198
random_forest,6,800.0000000000003,0.00544321833377887
random_forest,6,2000.0,0.018425744285531866
random_forest,6,5000.000000000003,0.017778674288893872
random_forest,12,200.0,0.005052350191313198
random_forest,12,800.0000000000003,0.00544321833377887
random_forest,12,2000.0,0.018425744285531866
random_forest,12,5000.000000000003,0.017778674288893855
random_forest,18,200.0,0.0049518377855190445
random_forest,18,800.0000000000003,0.005334971619001564
random_forest,18,2000.0,0.01760531839118566
random_forest,18,5000.000000000003,0.01745370879937345
random_forest,23,200.0,0.0049518377855190445
random_forest,23,800.0000000000003,0.005334971619001568
random_forest,23,2000.0,0.017605318391185645
random_forest,23,5000.000000000003,0.01745370879937345
